"ID (a)" "Genes (b)" "num (c) " "neg|score (d)" "neg|p-value (e) " "neg|fdr (f)" "neg|rank (g)" "neg|goodsgrna (h)" "neg|lfc (i)" "pos|score (j)" "pos|p-value (k)" "pos|fdr (l)" "pos|rank (m)" "pos|goodsgrna (n)" "pos|lfc (o)"
ENSG00000162298 SYVN1 30 1 1 1 18449 0 1.6006 9.29E-19 2.62E-07 1.40E-05 17 26 1.6006
ENSG00000145782 ATG12 30 0.99973 0.99999 1 18385 2 1.164 5.02E-18 2.62E-07 1.40E-05 18 25 1.164
ENSG00000033030 ZCCHC8 30 1 1 1 18445 1 1.1262 8.61E-18 2.62E-07 1.40E-05 19 26 1.1262
ENSG00000106009 BRAT1 30 0.94131 0.99801 1 17590 2 1.2204 9.45E-18 2.62E-07 1.40E-05 20 21 1.2204
ENSG00000077549 CAPZB 30 0.74862 0.97872 1 15822 3 1.5006 1.09E-17 2.62E-07 1.40E-05 21 20 1.5006
ENSG00000139719 VPS33A 30 0.48275 0.90157 1 12898 4 1.5082 1.10E-17 2.62E-07 1.40E-05 22 23 1.5082
ENSG00000144848 ATG3 30 0.99975 0.99999 1 18390 2 1.4007 1.32E-17 2.62E-07 1.40E-05 23 25 1.4007
ENSG00000075624 ACTB 30 0.98475 0.99962 1 18070 1 1.214 1.97E-17 2.62E-07 1.40E-05 24 23 1.214
ENSG00000204628 RACK1 30 0.97392 0.99932 1 17947 3 1.366 3.68E-17 2.62E-07 1.40E-05 25 22 1.366
ENSG00000185359 HGS 30 0.79359 0.98501 1 16219 3 1.1613 1.99E-16 2.62E-07 1.40E-05 26 25 1.1613
ENSG00000023287 RB1CC1 30 1 1 1 18452 0 1.1866 5.56E-16 2.62E-07 1.40E-05 27 24 1.1866
ENSG00000123200 ZC3H13 30 0.99987 0.99999 1 18408 2 1.0231 6.12E-16 2.62E-07 1.40E-05 28 26 1.0231
ENSG00000171720 HDAC3 30 0.93582 0.99782 1 17540 3 1.6581 6.54E-16 2.62E-07 1.40E-05 29 21 1.6581
ENSG00000104613 INTS10 30 0.99993 1 1 18422 1 1.0866 8.30E-16 2.62E-07 1.40E-05 30 25 1.0866
ENSG00000215305 VPS16 30 0.99974 0.99999 1 18387 2 1.1721 1.38E-15 2.62E-07 1.40E-05 31 27 1.1721
ENSG00000165819 METTL3 30 0.67093 0.96209 1 15095 5 1.0988 2.08E-15 2.62E-07 1.40E-05 32 21 1.0988
ENSG00000146576 C7orf26 30 1 1 1 18456 0 1.1289 2.21E-15 2.62E-07 1.40E-05 33 26 1.1289
ENSG00000095059 DHPS 30 0.97067 0.99923 1 17926 3 0.98348 2.50E-15 2.62E-07 1.40E-05 34 24 0.98348
ENSG00000162521 RBBP4 30 0.99684 0.99993 1 18280 1 0.9321 3.71E-15 2.62E-07 1.40E-05 35 24 0.9321
ENSG00000051108 HERPUD1 30 1 1 1 18465 0 0.98309 4.05E-15 2.62E-07 1.40E-05 36 28 0.98309
ENSG00000164885 CDK5 30 0.99126 0.99981 1 18169 4 0.91265 4.38E-15 2.62E-07 1.40E-05 37 22 0.91265
ENSG00000007545 CRAMP1 30 1 1 1 18450 0 0.94476 4.44E-15 2.62E-07 1.40E-05 38 23 0.94476
ENSG00000108963 DPH1 30 0.89438 0.99511 1 17157 7 0.91997 9.59E-15 2.62E-07 1.40E-05 39 20 0.91997
ENSG00000145388 METTL14 30 0.99979 0.99999 1 18400 2 1.1937 1.01E-14 2.62E-07 1.40E-05 40 24 1.1937
ENSG00000118181 RPS25 30 0.99999 1 1 18438 1 1.021 1.35E-14 2.62E-07 1.40E-05 41 24 1.021
ENSG00000089280 FUS 30 0.98244 0.99955 1 18032 3 1.1298 1.48E-14 2.62E-07 1.40E-05 42 25 1.1298
ENSG00000198408 MGEA5 30 0.99994 1 1 18423 1 1.0582 1.51E-14 2.62E-07 1.40E-05 43 27 1.0582
ENSG00000177169 ULK1 30 0.99974 0.99999 1 18388 1 0.85806 1.53E-14 2.62E-07 1.40E-05 44 26 0.85806
ENSG00000111605 CPSF6 30 1 1 1 18460 0 1.1018 1.54E-14 2.62E-07 1.40E-05 45 23 1.1018
ENSG00000139726 DENR 30 0.98757 0.99972 1 18108 2 1.0667 2.33E-14 2.62E-07 1.40E-05 46 22 1.0667
ENSG00000169762 TAPT1 30 0.95098 0.99838 1 17699 5 0.9732 2.35E-14 2.62E-07 1.40E-05 47 21 0.9732
ENSG00000104824 HNRNPL 30 0.99991 0.99999 1 18415 1 0.92725 2.38E-14 2.62E-07 1.40E-05 48 23 0.92725
ENSG00000086232 EIF2AK1 30 0.99849 0.99997 1 18327 3 0.92608 5.54E-14 2.62E-07 1.40E-05 49 24 0.92608
ENSG00000123395 ATG101 30 1 1 1 18446 0 1.1632 5.58E-14 2.62E-07 1.40E-05 50 25 1.1632
ENSG00000187522 HSPA14 30 0.94138 0.99802 1 17591 2 0.87497 7.10E-14 2.62E-07 1.40E-05 51 25 0.87497
ENSG00000107223 EDF1 30 0.97692 0.99941 1 17974 3 0.79871 7.30E-14 2.62E-07 1.40E-05 52 23 0.79871
ENSG00000101752 MIB1 30 0.99902 0.99998 1 18349 1 0.89187 1.00E-13 2.62E-07 1.40E-05 53 23 0.89187
ENSG00000205423 CNEP1R1 30 0.99845 0.99997 1 18323 3 0.85979 1.03E-13 2.62E-07 1.40E-05 54 24 0.85979
ENSG00000083520 DIS3 30 0.81625 0.98801 1 16457 6 0.91679 1.08E-13 2.62E-07 1.40E-05 55 19 0.91679
ENSG00000149474 KAT14 30 0.88084 0.99417 1 17027 3 0.96674 1.17E-13 2.62E-07 1.40E-05 56 22 0.96674
ENSG00000089154 GCN1 30 0.81755 0.98814 1 16471 7 0.80395 1.71E-13 2.62E-07 1.40E-05 57 21 0.80395
ENSG00000198356 ASNA1 30 1 1 1 18461 0 0.99962 1.72E-13 2.62E-07 1.40E-05 58 28 0.99962
ENSG00000160584 SIK3 30 0.98995 0.9998 1 18150 3 0.85433 1.79E-13 2.62E-07 1.40E-05 59 24 0.85433
ENSG00000136231 IGF2BP3 30 0.99848 0.99997 1 18326 1 0.65445 1.86E-13 2.62E-07 1.40E-05 60 27 0.65445
ENSG00000088930 XRN2 30 0.99436 0.99987 1 18220 4 1.2662 2.01E-13 2.62E-07 1.40E-05 61 24 1.2662
ENSG00000175826 CTDNEP1 30 0.98322 0.99957 1 18049 2 0.79295 2.31E-13 2.62E-07 1.40E-05 62 24 0.79295
ENSG00000136045 PWP1 30 0.99224 0.99983 1 18180 3 0.93466 3.78E-13 2.62E-07 1.40E-05 63 20 0.93466
ENSG00000175224 ATG13 30 0.99054 0.99981 1 18159 2 0.94842 4.42E-13 2.62E-07 1.40E-05 64 21 0.94842
ENSG00000197548 ATG7 30 0.99992 1 1 18418 2 0.97811 4.79E-13 2.62E-07 1.40E-05 65 21 0.97811
ENSG00000172809 RPL38 29 0.8574 0.9917 1 16825 5 1.3145 5.40E-13 2.62E-07 1.40E-05 66 21 1.3145
ENSG00000170946 DNAJC24 30 0.91073 0.99625 1 17295 1 1.042 5.87E-13 2.62E-07 1.40E-05 67 22 1.042
ENSG00000174917 C19orf70 30 1 1 1 18458 0 0.78281 6.39E-13 2.62E-07 1.40E-05 68 26 0.78281
ENSG00000070761 CFAP20 30 1 1 1 18454 0 0.79536 7.11E-13 2.62E-07 1.40E-05 69 23 0.79536
ENSG00000104969 SGTA 30 1 1 1 18448 0 0.7822 1.03E-12 2.62E-07 1.40E-05 70 24 0.7822
ENSG00000132768 DPH2 30 0.99998 1 1 18434 1 0.99487 1.27E-12 2.62E-07 1.40E-05 71 24 0.99487
ENSG00000132507 EIF5A 30 0.98274 0.99956 1 18038 3 0.91784 1.27E-12 2.62E-07 1.40E-05 72 23 0.91784
ENSG00000171862 PTEN 30 0.99865 0.99997 1 18331 3 0.76111 1.85E-12 2.62E-07 1.40E-05 73 23 0.76111
ENSG00000037897 METTL1 30 0.99995 1 1 18424 1 0.9863 1.87E-12 2.62E-07 1.40E-05 74 23 0.9863
ENSG00000148153 INIP 30 0.99548 0.9999 1 18244 3 0.75192 1.91E-12 2.62E-07 1.40E-05 75 19 0.75192
ENSG00000133112 TPT1 30 0.9496 0.99833 1 17681 1 0.92813 1.95E-12 2.62E-07 1.40E-05 76 20 0.92813
ENSG00000001497 LAS1L 30 0.9983 0.99996 1 18319 3 1.0204 3.07E-12 2.62E-07 1.40E-05 77 23 1.0204
ENSG00000126775 ATG14 30 0.88265 0.99429 1 17046 6 0.76221 3.19E-12 2.62E-07 1.40E-05 78 18 0.76221
ENSG00000088832 FKBP1A 30 0.99989 0.99999 1 18410 1 0.93171 3.22E-12 2.62E-07 1.40E-05 79 25 0.93171
ENSG00000114127 XRN1 30 0.99507 0.99989 1 18234 2 0.8947 4.09E-12 2.62E-07 1.40E-05 80 22 0.8947
ENSG00000196470 SIAH1 30 1 1 1 18453 0 0.86408 4.44E-12 2.62E-07 1.40E-05 81 24 0.86408
ENSG00000105726 ATP13A1 30 0.96733 0.9991 1 17883 2 1.0605 4.71E-12 2.62E-07 1.40E-05 82 24 1.0605
ENSG00000116455 WDR77 30 0.99983 0.99999 1 18403 2 0.87778 4.84E-12 2.62E-07 1.40E-05 83 25 0.87778
ENSG00000135387 CAPRIN1 30 0.99971 0.99999 1 18382 1 0.96296 4.85E-12 2.62E-07 1.40E-05 84 25 0.96296
ENSG00000148840 PPRC1 30 0.99736 0.99995 1 18300 2 0.9338 6.90E-12 2.62E-07 1.40E-05 85 20 0.9338
ENSG00000078142 PIK3C3 30 0.061283 0.34939 1 4682 4 0.68274 7.58E-12 2.62E-07 1.40E-05 86 19 0.68274
ENSG00000157954 WIPI2 30 0.99991 0.99999 1 18416 1 0.8288 1.49E-11 2.62E-07 1.40E-05 87 25 0.8288
ENSG00000168439 STIP1 30 0.84007 0.99104 1 16686 3 1.0199 1.52E-11 2.62E-07 1.40E-05 88 23 1.0199
ENSG00000144580 CNOT9 30 0.96668 0.99908 1 17878 4 0.91412 1.56E-11 2.62E-07 1.40E-05 89 25 0.91412
ENSG00000099381 SETD1A 26 0.91783 0.9961 1 17365 4 1.2104 1.65E-11 2.62E-07 1.40E-05 90 18 1.2104
ENSG00000070423 RNF126 30 0.24132 0.72285 1 9156 4 0.78183 3.29E-11 2.62E-07 1.40E-05 91 21 0.78183
ENSG00000168564 CDKN2AIP 30 0.99667 0.99993 1 18276 1 0.73769 3.43E-11 2.62E-07 1.40E-05 92 26 0.73769
ENSG00000077348 EXOSC5 30 0.95247 0.99845 1 17715 4 0.84074 4.08E-11 2.62E-07 1.40E-05 93 22 0.84074
ENSG00000076053 RBM7 30 0.67469 0.96269 1 15131 5 0.49368 6.05E-11 2.62E-07 1.40E-05 94 20 0.49368
ENSG00000105197 TIMM50 30 0.9997 0.99999 1 18381 1 0.79839 7.33E-11 2.62E-07 1.40E-05 95 22 0.79839
ENSG00000144736 SHQ1 30 0.98648 0.99967 1 18096 2 0.6955 7.95E-11 2.62E-07 1.40E-05 96 24 0.6955
ENSG00000223496 EXOSC6 30 0.80546 0.98656 1 16346 4 0.94722 9.29E-11 2.62E-07 1.40E-05 97 19 0.94722
ENSG00000117543 DPH5 30 0.93982 0.99794 1 17579 5 0.81428 1.03E-10 2.62E-07 1.40E-05 98 23 0.81428
ENSG00000065526 SPEN 30 0.97343 0.99931 1 17941 4 0.6709 1.32E-10 2.62E-07 1.40E-05 99 21 0.6709
ENSG00000072849 DERL2 30 0.99977 0.99999 1 18397 2 0.82152 1.54E-10 2.62E-07 1.40E-05 100 20 0.82152
ENSG00000198887 SMC5 30 0.99973 0.99999 1 18384 1 0.68523 2.81E-10 2.62E-07 1.40E-05 101 27 0.68523
ENSG00000205250 E2F4 30 0.99966 0.99999 1 18377 1 0.59752 3.39E-10 2.62E-07 1.40E-05 102 24 0.59752
ENSG00000079999 KEAP1 30 0.98418 0.99959 1 18059 2 0.65872 3.43E-10 2.62E-07 1.40E-05 103 24 0.65872
ENSG00000149187 CELF1 30 0.79698 0.98542 1 16247 2 0.70644 3.57E-10 2.62E-07 1.40E-05 104 24 0.70644
ENSG00000129696 TTI2 30 0.99998 1 1 18437 1 0.59355 4.04E-10 2.62E-07 1.40E-05 105 22 0.59355
ENSG00000177600 RPLP2 25 0.99876 0.99993 1 18335 2 1.1197 4.66E-10 2.62E-07 1.40E-05 106 18 1.1197
ENSG00000114867 EIF4G1 30 0.94165 0.99804 1 17595 3 0.85379 5.08E-10 2.62E-07 1.40E-05 107 20 0.85379
ENSG00000011304 PTBP1 30 0.96436 0.99898 1 17847 4 0.71767 5.16E-10 2.62E-07 1.40E-05 108 23 0.71767
ENSG00000164500 SPATA48 30 0.9542 0.99855 1 17732 4 0.65818 5.38E-10 2.62E-07 1.40E-05 109 21 0.65818
ENSG00000177542 SLC25A22 30 0.97857 0.99946 1 17991 2 0.71424 6.29E-10 2.62E-07 1.40E-05 110 23 0.71424
ENSG00000167264 DUS2 30 0.99997 1 1 18428 1 0.68658 7.14E-10 2.62E-07 1.40E-05 111 26 0.68658
ENSG00000080802 CNOT4 30 0.98752 0.99972 1 18107 3 0.76075 7.66E-10 2.62E-07 1.40E-05 112 23 0.76075
ENSG00000100216 TOMM22 30 0.99784 0.99996 1 18303 2 0.70424 7.90E-10 2.62E-07 1.40E-05 113 22 0.70424
ENSG00000113194 FAF2 30 0.52652 0.9213 1 13440 3 0.84722 8.06E-10 2.62E-07 1.40E-05 114 21 0.84722
ENSG00000165699 TSC1 30 0.99998 1 1 18431 1 0.5154 8.87E-10 2.62E-07 1.40E-05 115 25 0.5154
ENSG00000167522 ANKRD11 30 0.83846 0.99081 1 16672 5 0.6188 8.88E-10 2.62E-07 1.40E-05 116 19 0.6188
ENSG00000117360 PRPF3 30 0.99888 0.99997 1 18343 3 0.68505 9.32E-10 2.62E-07 1.40E-05 117 21 0.68505
ENSG00000166595 FAM96B 30 0.98676 0.99968 1 18099 3 0.95501 9.63E-10 2.62E-07 1.40E-05 118 23 0.95501
ENSG00000152223 EPG5 30 0.96246 0.99889 1 17823 3 0.61904 1.01E-09 2.62E-07 1.40E-05 119 23 0.61904
ENSG00000163872 YEATS2 30 0.2253 0.70599 1 8835 6 0.55236 1.23E-09 2.62E-07 1.40E-05 120 17 0.55236
ENSG00000171109 MFN1 30 0.80466 0.98646 1 16337 2 0.62439 1.32E-09 2.62E-07 1.40E-05 121 25 0.62439
ENSG00000107290 SETX 30 0.94513 0.99814 1 17637 6 0.88254 1.34E-09 2.62E-07 1.40E-05 122 22 0.88254
ENSG00000104852 SNRNP70 30 0.99998 1 1 18435 1 0.715 1.54E-09 2.62E-07 1.40E-05 123 22 0.715
ENSG00000107882 SUFU 30 0.99259 0.99984 1 18186 2 0.57718 1.68E-09 2.62E-07 1.40E-05 124 25 0.57718
ENSG00000038219 BOD1L1 30 0.96371 0.99895 1 17838 4 0.81444 2.33E-09 2.62E-07 1.40E-05 125 20 0.81444
ENSG00000054267 ARID4B 30 0.99972 0.99999 1 18383 1 0.69332 2.38E-09 2.62E-07 1.40E-05 126 21 0.69332
ENSG00000168397 ATG4B 30 0.98075 0.99951 1 18012 2 0.51191 3.13E-09 2.62E-07 1.40E-05 127 22 0.51191
ENSG00000198833 UBE2J1 28 0.99025 0.99972 1 18156 2 0.70722 3.71E-09 2.62E-07 1.40E-05 128 17 0.70722
ENSG00000196455 PIK3R4 30 0.61815 0.95099 1 14558 5 0.27443 3.96E-09 2.62E-07 1.40E-05 129 15 0.27443
ENSG00000116922 C1orf109 30 0.91549 0.99663 1 17340 3 0.70685 4.30E-09 2.62E-07 1.40E-05 130 23 0.70685
ENSG00000100749 VRK1 30 0.99944 0.99999 1 18370 3 0.87344 4.67E-09 2.62E-07 1.40E-05 131 25 0.87344
ENSG00000171311 EXOSC1 30 0.76011 0.98036 1 15913 4 0.71826 4.98E-09 2.62E-07 1.40E-05 132 21 0.71826
ENSG00000108883 EFTUD2 30 0.19784 0.67206 1 8275 9 0.12017 5.22E-09 2.62E-07 1.40E-05 133 12 0.12017
ENSG00000166164 BRD7 30 0.99977 0.99999 1 18395 2 0.68791 5.67E-09 2.62E-07 1.40E-05 134 20 0.68791
ENSG00000111530 CAND1 30 0.93144 0.99767 1 17488 3 0.76242 5.72E-09 2.62E-07 1.40E-05 135 23 0.76242
ENSG00000160193 WDR4 30 0.93739 0.99789 1 17559 4 0.77915 5.77E-09 2.62E-07 1.40E-05 136 21 0.77915
ENSG00000100462 PRMT5 30 0.93455 0.99778 1 17521 3 1.0244 5.97E-09 2.62E-07 1.40E-05 137 23 1.0244
ENSG00000168303 MPLKIP 30 0.87861 0.99408 1 17010 5 0.71871 6.52E-09 2.62E-07 1.40E-05 138 22 0.71871
ENSG00000181817 LSM10 30 0.99864 0.99997 1 18330 2 0.46571 6.70E-09 2.62E-07 1.40E-05 139 20 0.46571
ENSG00000239900 ADSL 30 0.99522 0.99989 1 18236 2 0.79318 7.27E-09 2.62E-07 1.40E-05 140 22 0.79318
ENSG00000125107 CNOT1 30 0.94664 0.99819 1 17649 5 0.56399 7.35E-09 2.62E-07 1.40E-05 141 17 0.56399
ENSG00000105656 ELL 30 0.67286 0.96218 1 15113 3 0.52261 7.60E-09 2.62E-07 1.40E-05 142 20 0.52261
ENSG00000105447 GRWD1 30 0.99302 0.99985 1 18193 2 0.65309 9.04E-09 2.62E-07 1.40E-05 143 24 0.65309
ENSG00000169189 NSMCE1 30 0.99456 0.99988 1 18222 2 0.66241 9.89E-09 2.62E-07 1.40E-05 144 22 0.66241
ENSG00000164091 WDR82 30 0.8605 0.99274 1 16854 5 1.1096 1.06E-08 2.62E-07 1.40E-05 145 21 1.1096
ENSG00000174444 RPL4 30 0.60624 0.94805 1 14446 9 0.61697 1.27E-08 2.62E-07 1.40E-05 146 17 0.61697
ENSG00000135698 MPHOSPH6 30 0.94619 0.99818 1 17645 4 0.47838 1.56E-08 2.62E-07 1.40E-05 147 25 0.47838
ENSG00000106554 CHCHD3 24 0.99977 0.99996 1 18396 1 0.55128 1.62E-08 2.62E-07 1.40E-05 148 21 0.55128
ENSG00000115053 NCL 30 0.99824 0.99996 1 18316 1 0.78988 1.74E-08 2.62E-07 1.40E-05 149 22 0.78988
ENSG00000182093 WRB 30 0.90325 0.99571 1 17230 2 0.59262 1.98E-08 2.62E-07 1.40E-05 150 21 0.59262
ENSG00000137200 CMTR1 30 0.96655 0.99907 1 17876 5 0.88398 2.32E-08 2.62E-07 1.40E-05 151 20 0.88398
ENSG00000172273 HINFP 30 0.96804 0.99916 1 17889 3 0.91658 2.40E-08 2.62E-07 1.40E-05 152 25 0.91658
ENSG00000107341 UBE2R2 30 0.99721 0.99995 1 18297 2 0.55461 2.47E-08 2.62E-07 1.40E-05 153 24 0.55461
ENSG00000263001 GTF2I 30 0.99992 1 1 18417 1 0.40888 2.48E-08 2.62E-07 1.40E-05 154 25 0.40888
ENSG00000122687 MRM2 30 1 1 1 18466 0 0.47104 2.50E-08 2.62E-07 1.40E-05 155 25 0.47104
ENSG00000090447 TFAP4 30 0.99999 1 1 18443 1 0.67486 2.55E-08 2.62E-07 1.40E-05 156 23 0.67486
ENSG00000185650 ZFP36L1 30 0.90708 0.99597 1 17259 4 0.75008 2.65E-08 2.62E-07 1.40E-05 157 20 0.75008
ENSG00000139645 ANKRD52 30 0.54068 0.92699 1 13634 3 0.72961 2.80E-08 2.62E-07 1.40E-05 158 19 0.72961
ENSG00000106415 GLCCI1 30 0.99551 0.9999 1 18245 2 0.49444 3.15E-08 2.62E-07 1.40E-05 159 20 0.49444
ENSG00000119383 PTPA 30 0.99885 0.99997 1 18342 3 0.75326 3.69E-08 2.62E-07 1.40E-05 160 21 0.75326
ENSG00000086475 SEPHS1 30 0.96651 0.99907 1 17875 2 0.65177 3.73E-08 2.62E-07 1.40E-05 161 22 0.65177
ENSG00000087302 RTRAF 30 0.99837 0.99997 1 18322 3 0.56731 3.75E-08 2.62E-07 1.40E-05 162 22 0.56731
ENSG00000143190 POU2F1 30 0.45165 0.89013 1 12517 5 0.75443 4.25E-08 2.62E-07 1.40E-05 163 23 0.75443
ENSG00000124160 NCOA5 30 0.99612 0.99991 1 18262 3 0.72727 4.32E-08 2.62E-07 1.40E-05 164 22 0.72727
ENSG00000046647 GEMIN8 30 0.83308 0.99007 1 16623 8 0.52101 4.44E-08 2.62E-07 1.40E-05 165 18 0.52101
ENSG00000104904 OAZ1 30 0.74314 0.97811 1 15795 2 0.54001 4.46E-08 2.62E-07 1.40E-05 166 23 0.54001
ENSG00000122550 KLHL7 30 0.9429 0.99807 1 17615 3 0.60539 5.20E-08 2.62E-07 1.40E-05 167 25 0.60539
ENSG00000180817 PPA1 30 0.89417 0.99511 1 17154 3 0.56978 5.45E-08 2.62E-07 1.40E-05 168 20 0.56978
ENSG00000198728 LDB1 30 0.99928 0.99998 1 18364 2 0.61179 5.85E-08 2.62E-07 1.40E-05 169 25 0.61179
ENSG00000126524 SBDS 30 0.99978 0.99999 1 18399 2 0.50449 6.23E-08 2.62E-07 1.40E-05 170 25 0.50449
ENSG00000118816 CCNI 30 0.56554 0.93682 1 13965 7 0.3681 6.56E-08 2.62E-07 1.40E-05 171 18 0.3681
ENSG00000129103 SUMF2 30 0.98627 0.99966 1 18095 4 0.58747 6.58E-08 2.62E-07 1.40E-05 172 20 0.58747
ENSG00000153790 C7orf31 30 0.99999 1 1 18440 1 0.55787 6.78E-08 2.62E-07 1.40E-05 173 23 0.55787
ENSG00000048162 NOP16 30 0.99882 0.99997 1 18339 3 0.63171 7.12E-08 2.62E-07 1.40E-05 174 24 0.63171
ENSG00000062716 VMP1 30 0.64204 0.95603 1 14800 4 0.48617 7.32E-08 2.62E-07 1.40E-05 175 17 0.48617
ENSG00000065883 CDK13 30 0.99889 0.99997 1 18344 2 0.62999 7.77E-08 2.62E-07 1.40E-05 176 22 0.62999
ENSG00000065268 WDR18 30 0.93534 0.99781 1 17529 6 0.76171 8.25E-08 2.62E-07 1.40E-05 177 21 0.76171
ENSG00000005889 ZFX 30 0.73348 0.97685 1 15716 3 0.6417 8.35E-08 2.62E-07 1.40E-05 178 21 0.6417
ENSG00000137054 POLR1E 30 0.29678 0.78831 1 10220 3 0.53122 9.89E-08 2.62E-07 1.40E-05 179 21 0.53122
ENSG00000155393 HEATR3 30 0.99976 0.99999 1 18391 2 0.66148 1.03E-07 2.62E-07 1.40E-05 180 24 0.66148
ENSG00000143569 UBAP2L 30 0.995 0.99989 1 18233 3 0.59263 1.08E-07 2.62E-07 1.40E-05 181 24 0.59263
ENSG00000185290 NUPR2 30 0.96 0.99877 1 17799 3 0.49556 1.16E-07 2.62E-07 1.40E-05 182 22 0.49556
ENSG00000166471 TMEM41B 30 0.99551 0.9999 1 18246 3 0.56238 1.16E-07 2.62E-07 1.40E-05 183 19 0.56238
ENSG00000177732 SOX12 30 0.88224 0.99429 1 17040 2 0.44272 1.19E-07 2.62E-07 1.40E-05 184 24 0.44272
ENSG00000104859 CLASRP 30 0.99675 0.99993 1 18278 2 0.64772 1.27E-07 2.62E-07 1.40E-05 185 22 0.64772
ENSG00000111845 PAK1IP1 30 0.31563 0.80168 1 10521 7 0.52894 1.32E-07 2.62E-07 1.40E-05 186 18 0.52894
ENSG00000214736 TOMM6 30 0.96243 0.99889 1 17822 3 0.67136 1.34E-07 2.62E-07 1.40E-05 187 21 0.67136
ENSG00000172775 FAM192A 30 0.89916 0.99541 1 17197 2 0.57794 1.46E-07 2.62E-07 1.40E-05 188 21 0.57794
ENSG00000119414 PPP6C 30 0.95731 0.99869 1 17761 4 0.67755 1.48E-07 2.62E-07 1.40E-05 189 19 0.67755
ENSG00000107672 NSMCE4A 30 0.88717 0.9946 1 17085 4 0.40017 1.49E-07 2.62E-07 1.40E-05 190 19 0.40017
ENSG00000142168 SOD1 30 0.90862 0.99606 1 17273 4 0.75423 1.54E-07 2.62E-07 1.40E-05 191 18 0.75423
ENSG00000178950 GAK 30 0.49329 0.90591 1 13022 5 0.45829 1.84E-07 2.62E-07 1.40E-05 192 19 0.45829
ENSG00000092208 GEMIN2 30 0.99813 0.99996 1 18310 2 0.75017 1.90E-07 2.62E-07 1.40E-05 193 21 0.75017
ENSG00000116670 MAD2L2 30 0.32409 0.80644 1 10675 9 0.43691 1.97E-07 2.62E-07 1.40E-05 194 15 0.43691
ENSG00000162408 NOL9 30 0.99695 0.99993 1 18287 2 0.60617 2.23E-07 2.62E-07 1.40E-05 195 24 0.60617
ENSG00000101665 SMAD7 30 0.99996 1 1 18426 1 0.52116 2.35E-07 2.62E-07 1.40E-05 196 22 0.52116
ENSG00000006327 TNFRSF12A 30 0.998 0.99996 1 18309 2 0.71638 2.41E-07 2.62E-07 1.40E-05 197 21 0.71638
ENSG00000148572 NRBF2 30 0.97016 0.99921 1 17918 3 0.66778 2.69E-07 2.62E-07 1.40E-05 198 19 0.66778
ENSG00000132600 PRMT7 30 0.7802 0.98328 1 16090 6 0.60769 2.78E-07 2.62E-07 1.40E-05 199 20 0.60769
ENSG00000196998 WDR45 30 0.99188 0.99983 1 18177 2 0.53589 2.82E-07 2.62E-07 1.40E-05 200 21 0.53589
ENSG00000076201 PTPN23 30 0.80531 0.98656 1 16344 4 0.69602 2.88E-07 2.62E-07 1.40E-05 201 18 0.69602
